SKU,Producto,Categoria,Marca,Precio,Stock Actual,Caducidad,Estado
188ZCMUWOS,Agua Oxigenada,Implementos Insumos Desechables,3M,0.0,0,,Activo
DGNOYADL5V,Alcohol,Implementos Insumos Desechables,Cositen,0.0,0,,Activo
JCMZL3XUNK,Alcohol Gel,Implementos Insumos Desechables,Blossom,0.0,0,,Activo
9TDAKE04HS,Amonio Cuaternario,Implementos Insumos Desechables,3M,0.0,0,,Activo
PMP5ICE9CR,Aromatizante,Implementos Insumos Desechables,3M,0.0,0,,Activo
BME0CCEIKJ,Bandeja Examenes Completa,Implementos Insumos Desechables,Alfa Dental,0.0,0,,Activo
UZTXVLWIJA,Bandeja Examenes sola,Implementos Insumos Desechables,Alfa Dental,0.0,0,,Activo
GW3XJH5TC3,Bata quirúrgica,Implementos Insumos Desechables,3M,0.0,0,,Activo
Z9OPCDWP4A,Campo Estéril Desechable,Implementos Insumos Desechables,3M,0.0,0,,Activo
IINQE0CDB6,Campo para paciente,Implementos Insumos Desechables,3M,0.0,0,,Activo
G0G751WQFI,Clorhexidina 0.12%,Implementos Insumos Desechables,Dia Dent,0.0,0,,Activo
28MNCPZVSI,Cloro Gel,Implementos Insumos Desechables,Coltene,0.0,0,,Activo
ISGP7YYN5E,Cloro Liquido,Implementos Insumos Desechables,Coltene,0.0,0,,Activo
RJ8IF5UC49,Cubre Calzado pares,Implementos Insumos Desechables,3M,0.0,0,,Activo
AY35JXRO9P,Desodorante Ambiental,Implementos Insumos Desechables,Coltene,0.0,0,,Activo
VEXZRXSCCR,Detergente Sanificante,Implementos Insumos Desechables,3M,0.0,0,,Activo
Z593ERRTG8,Dispensador Torula,Implementos Insumos Desechables,3M,0.0,0,,Activo
YGMPXTH044,Espatula Yeso,Implementos Insumos Desechables,3M,0.0,0,,Activo
IHLGY3HAEK,Espejo sin mango,Implementos Insumos Desechables,3M,0.0,0,,Activo
JZEZCP82OP,Eyector,Implementos Insumos Desechables,3M,0.0,0,,Activo
DFN7QPLN0X,Eyector de Saliva,Implementos Insumos Desechables,3M,0.0,0,,Activo
0RFSHSO38M,Faciales,Implementos Insumos Desechables,3M,0.0,0,,Activo
SCVGSKXEZF,Gorro Esteril,Implementos Insumos Desechables,3M,0.0,0,,Activo
MBD7SJIXE8,GUANTES ESTERILES 6.0,Implementos Insumos Desechables,3M,0.0,0,,Activo
IOPH6WEZNK,GUANTES ESTERILES 7.0,Implementos Insumos Desechables,3M,0.0,0,,Activo
878Z6B8UXE,GUANTES ESTERILES 7.5,Implementos Insumos Desechables,3M,0.0,0,,Activo
9NGSOXS2GT,Guantes Talla M,Implementos Insumos Desechables,3M,0.0,0,,Activo
T4OBYHKOIM,Guantes Talla S,Implementos Insumos Desechables,3M,0.0,0,,Activo
PAQ8U8DCO6,Gutaperchero,Implementos Insumos Desechables,3M,0.0,0,,Activo
VIH0Q5MEFW,Hilo para Mechero,Implementos Insumos Desechables,3M,0.0,0,,Activo
J70KUTVFZN,Huincha Celuloides,Implementos Insumos Desechables,3M,0.0,0,,Activo
70G3MYKLEI,Huincha Metalico,Implementos Insumos Desechables,3M,0.0,0,,Activo
MBWXEWR6MN,Interproximal #0,Implementos Insumos Desechables,3M,0.0,0,,Activo
QLEWFAPWRS,Interproximal #1,Implementos Insumos Desechables,3M,0.0,0,,Activo
3CR1XBWJKB,Jabón Enzimático,Implementos Insumos Desechables,3M,0.0,0,,Activo
OG2XF1Y2MG,Jabon Liquido,Implementos Insumos Desechables,Alfa Dental,0.0,0,,Activo
6OYVQD53FL,Jeringa Para Silicona,Implementos Insumos Desechables,3M,0.0,0,,Activo
